month_date_yyyymm,postal_code,zip_name,flag,median_listing_price,median_listing_price_mm,median_listing_price_yy,active_listing_count,active_listing_count_mm,active_listing_count_yy,median_days_on_market,median_days_on_market_mm,median_days_on_market_yy,new_listing_count,new_listing_count_mm,new_listing_count_yy,price_increased_count,price_increased_count_mm,price_increased_count_yy,price_reduced_count,price_reduced_count_mm,price_reduced_count_yy,pending_listing_count,pending_listing_count_mm,pending_listing_count_yy,median_listing_price_per_square_feet,median_listing_price_per_square_feet_mm,median_listing_price_per_square_feet_yy,median_square_feet,median_square_feet_mm,median_square_feet_yy,average_listing_price,average_listing_price_mm,average_listing_price_yy,total_listing_count,total_listing_count_mm,total_listing_count_yy,pending_ratio_mm,pending_ratio_yy
201912,80487,"steamboat springs, co",,799550,0.0133,0.0967,297,-0.089,-0.1727,163,0.156,0.1399,48,0.7143,-0.2941,0,,,24,0,0.2,86,-0.3385,0.5357,395.3215708,0.0017,0.0459,2304,0,0.0662,1424732,0.0219,0.0419,383,-0.1601,0.2896,-0.1092,0.1336
201912,77584,"pearland, tx",,310047.5,0,0.0164,297,-0.0481,0.1293,64.5,0.2647,0.2404,84,-0.087,-0.125,12,0,2,72,-0.4,0.0588,89,-0.2645,-0.3308,113.2593571,0.0129,0.0315,2785,-0.0043,0.0087,333873,7.00E-04,0.0436,386,-0.1085,0.2997,-0.0882,-0.206
201912,19146,"philadelphia, pa",,379500,-0.0511,-0.027,297,-0.1863,0.0034,73,0.2167,0.1061,60,-0.4,0,0,,,96,-0.3143,0.3333,32,-0.1351,1,243.1818182,-0.016,-0.0255,1346.5,-0.0382,0.0049,454575,-0.0383,0.0059,329,-0.1816,0.1077,0.0064,0.0537
201912,35242,"birmingham, al",,530400,-0.0025,0.0046,296,-0.0976,-0.0976,99.5,0.0934,-0.0701,28,-0.6316,-0.4167,4,-0.5,0,40,-0.2857,-0.1667,64,-0.0857,-0.0725,162.5236057,-0.0016,0.0318,3185.5,-0.0083,-0.0559,683000,0.0065,0.0331,360,-0.0955,0.2162,0.0028,0.0059
201912,33069,"pompano beach, fl",*,199050,-0.005,,296,0.0764,,69,-0.0417,,76,-0.05,0.1875,4,,,84,0,0.5,113,0.018,0.6618,151.3928139,0.0073,0.0123,1301.5,-0.0323,-0.0374,219369,-0.0175,0.0059,409,0.0596,0.3818,-0.0219,0.129
201912,78109,"converse, tx",*,210538,-0.021,,296,0.035,0.451,64.5,0.3163,0.217,80,-0.2,0.1111,20,-0.5,0.25,64,-0.1111,0.6,130,-0.1333,0.0156,118.8928506,0.0325,0.1344,1798,-0.0577,-0.1306,224445,-0.0075,-0.0163,426,-0.0229,0.4392,-0.0853,-0.1883
201912,92262,"palm springs, ca",,561300,-0.0066,0.061,295,-0.0694,-0.1168,57,0.2955,-0.0656,64,-0.4839,-0.1579,0,-1,,68,-0.15,0.1333,122,-0.0827,0.1509,312.5392109,0.005,0.0519,1675,-0.0362,-0.0245,721375,0.0346,0.0104,417,-0.0733,0.4136,-0.006,0.0962
201912,85253,"paradise valley, az",,2495050,0.0418,-0.002,295,-0.0359,-0.1547,81,0.1096,-0.1649,36,-0.5,-0.1818,0,-1,,40,-0.4118,-0.0909,83,0.1216,0.2388,459.6213139,0.0072,-0.0162,5554.5,0.0079,-0.0028,3216852,0.0334,0.0108,378,-0.0053,0.2814,0.0395,0.0894
201912,10128,"new york, ny",,1635050,-0.0382,-0.0891,295,-0.1424,-0.1061,93,0.2078,-0.07,20,-0.6154,-0.375,0,,,32,-0.5,0.6,124,0.069,-0.1268,884.8305085,0.0127,0.0714,595,0.0348,0.0475,3119906,-0.0212,-0.0959,419,-0.0891,0.4203,0.0831,-0.01
201912,33179,"miami, fl",,237050,0.0533,0.2153,294,0.0316,-0.1811,77.5,-0.0663,-0.0432,64,-0.1111,-0.0588,8,0,1,48,0,-0.2941,117,-0.0565,-0.025,162.601626,0.0101,0.0304,1428,0.0843,0.0617,392868,0.0512,0.1104,411,0.0049,0.398,-0.0371,0.0637
201912,74331,"afton, ok",,339050,-0.0029,0.0273,294,-0.0233,0.1264,110.5,0.0524,-0.1875,28,-0.125,0.1667,0,,,12,-0.4,0,3,0.5,2,160.6901613,-0.0172,0.028,2022,-0.0015,-0.06,428155,-0.01,-0.0912,297,-0.0198,0.0102,0.0036,0.0064
201912,33033,"homestead, fl",,276550,0.0095,0.0553,292,0.021,-0.1386,65,0.0656,-0.0972,64,-0.3043,-0.2727,4,-0.5,-0.6667,48,0,-0.4286,151,-0.0131,0.1185,151.995559,0.0099,0.0352,1556,-0.0064,-0.0226,274548,0.0027,0.056,443,0.0091,0.5171,-0.0178,0.1189
201912,78028,"kerrville, tx",,420050,0.0526,0.0024,292,-0.0932,-0.0267,95,0.044,-0.181,40,-0.375,-0.2308,0,,,28,-0.5882,0,62,-0.1143,0.3478,161.2741935,-0.0079,0.0689,2645.5,-9.00E-04,-0.0129,621475,0.0132,0.0374,354,-0.0969,0.2123,-0.0051,0.059
201912,34104,"naples, fl",,272500,0.0091,0.0094,292,-0.0102,-0.1335,69.5,0.1032,-0.1627,48,-0.4783,-0.2,0,,,52,0.0833,0.4444,79,-0.1771,0.1791,177.0384324,0,0.0045,1484,0.0027,0.0242,307267,0.002,-0.0129,371,-0.0512,0.2705,-0.0549,0.0717
201912,33477,"jupiter, fl",,549000,-0.0019,-0.0352,292,0.058,0.0466,78.5,0.0195,-0.0765,64,-0.0588,0.3333,0,-1,,48,-0.0769,0.3333,70,-0.1026,0.1475,352.1886083,0.049,0.0611,1828.5,-0.0106,-0.0116,2159491,0.0093,0.306,362,0.0226,0.2397,-0.0429,0.0211
201912,61265,"moline, il",*,112500,-0.0462,-0.0621,291,-0.0673,0.6724,133.5,0.0943,,32,-0.4286,-0.2,0,,,24,-0.3333,0,121,-0.1232,2.2703,81.27208481,-0.012,-0.1266,1458,-0.0254,0.0971,155479,-0.0369,-0.0263,412,-0.0844,0.4158,-0.0265,0.2032
201912,29486,"summerville, sc",,311050,0.017,0.0123,291,-0.049,0.341,82,0.1884,0.3016,48,-0.3684,-0.0769,28,1.3333,2.5,100,-0.0741,0.7857,84,-0.2364,0.05,142.4432359,0.0443,0.0595,2263,9.00E-04,-0.0415,330263,0.0186,0.0197,375,-0.0986,0.2887,-0.0708,-0.08
201912,29349,"inman, sc",,227500,-0.0336,0.0786,291,-0.0202,0.1192,75.5,0.0634,-0.2525,48,-0.4783,0.5,0,,,12,-0.8235,-0.625,136,-0.2273,0.4316,103.5976982,1.00E-04,0.0126,1440,0.0286,0.0286,288051,0.0117,0.0197,427,-0.0973,0.4674,-0.1252,0.102
201912,30126,"mableton, ga",,293000,-0.0138,0.05,290,-0.0429,0.1647,59.5,0.1442,-0.0246,88,-0.2414,0,4,,-0.6667,80,-0.3333,1.5,164,-0.1675,0.1389,120.9504456,0.001,0.1557,2033,0.0404,0.1097,340797,-0.0094,-0.0295,454,-0.092,0.5655,-0.0846,-0.0128
201912,30540,"ellijay, ga",*,299950,-0.0294,0.1545,288,-0.1504,,79,0.1449,-0.1684,44,-0.3125,-0.3889,0,,-1,28,-0.5333,-0.5,83,-0.117,3.6111,121.7628697,0.0359,0.4437,2058.5,-0.0363,0.3797,398430,0.0154,0.28,371,-0.1432,0.2882,0.0109,0.2426
201912,85142,"queen creek, az",,425468,0.001,0.0479,288,-0.0303,-0.1529,53.5,-0.0093,0.0094,116,-0.1212,0.2609,40,0.25,2.3333,72,-0.5714,-0.4706,205,-0.1048,0.2349,160.3919615,1.00E-04,0.0722,2605,-0.0106,0.0019,491065,0.0025,0.0645,493,-0.0627,0.7118,-0.0592,0.2236
201912,33322,"fort lauderdale, fl",,127938.5,0.0231,-0.13,287,-0.0069,-0.1484,66,0.0313,0.1379,84,0,-0.16,4,0,0,76,-0.0952,-0.05,164,-0.1135,0.2913,114.1399605,0.0058,-0.1064,1025,0,-0.0929,185172,-8.00E-04,-0.0756,451,-0.0485,0.5714,-0.0687,0.1946
201912,30546,"hiawassee, ga",*,329050,0,0.0313,287,-0.0946,,173,0.109,0.1234,28,0,0,0,,-1,12,-0.7,-0.5,54,0,3.9091,0,,,0,,,434067,0.0082,0.0346,341,-0.0809,0.1882,0.0178,0.1516
201912,85541,"payson, az",,435050,0.0012,0.0875,287,-0.125,-0.0271,104.5,0.1875,-0.0234,52,0.4444,0.3,0,,,40,-0.3333,0.25,64,-0.3905,0.0323,198.5441746,4.00E-04,-0.0026,2294,0.0735,0.079,582539,0.0337,0.0093,351,-0.1894,0.223,-0.0971,0.0128
201912,85383,"peoria, az",*,467500,-0.0241,,286,-0.1173,,61,0.22,,64,-0.5429,-0.3333,8,0,-0.75,88,-0.4211,-0.2667,153,-0.1307,-0.0129,181.764842,0.0036,0.0665,2664,-0.0159,0.0076,532050,-0.0249,0.0242,439,-0.122,0.535,-0.0082,0.1597
201912,73012,"edmond, ok",,290503,-0.0151,-0.0286,286,-0.0892,-0.0863,61.5,0.1827,-0.2115,44,-0.5417,-0.1538,4,0,,68,-0.2917,0.1333,0,,,134.8849372,-0.0079,0.0487,2300,-0.0167,-0.0782,352958,-0.0412,-0.0779,286,-0.0892,0,0,0
201912,39120,"natchez, ms",,186050,-0.008,-0.063,286,-0.0069,0.0035,142,0.0441,0.0923,24,-0.3333,1,0,,,24,-0.25,5,10,0.1111,0.1111,87.99886234,0.0051,-0.0219,2014,0.0055,-0.0069,264094,0.0028,-0.0822,296,-0.0034,0.035,0.0037,0.0034
201912,83646,"meridian, id",,393238.5,0.0134,0.1053,286,-0.0561,-0.12,51,0.2143,-0.0893,96,-0.2258,-0.0769,8,0,,92,0.2105,0.6429,9,-0.1818,3.5,178.713753,0.013,0.0998,2204,-0.0488,-0.0471,437221,0.0085,0.0495,295,-0.0605,0.0315,-0.0048,0.0253
201912,73034,"edmond, ok",,389950,0.0288,0.0026,286,-0.1062,-0.2868,68.5,0.161,-0.0072,56,-0.3333,-0.2632,0,-1,,48,-0.4,-0.3333,0,,-1,142.1116289,0.0133,0.0393,2695.5,-0.0094,-0.0575,430479,0.0144,-0.0054,286,-0.1062,0,0,-0.0025
201912,37128,"murfreesboro, tn",,329000,-0.0029,0.0446,285,-0.0806,-0.1642,33,0.1,-0.2326,108,-0.5091,-0.0357,16,0,0,84,-0.087,0.4,63,-0.0455,-0.0156,143.2093165,0.0083,0.0489,2365,-0.003,-0.0084,350671,-0.0113,0.0925,348,-0.0745,0.2211,0.0081,0.0334
201912,37862,"sevierville, tn",*,440000,-1.00E-04,,285,-0.0625,,76.5,0.1418,,56,-0.1765,1,0,-1,,48,-0.1429,0.0909,133,0.0076,0.3168,191.425195,0.0114,0.1851,2522,-0.011,0.0319,576562,0.0058,0.1647,418,-0.0413,0.4667,0.0325,0.0967
201912,33316,"fort lauderdale, fl",,782050,-0.0521,-0.1301,285,-0.0306,-0.0172,89,0.023,-0.1359,36,-0.25,-0.25,0,,,28,-0.3636,-0.125,38,0.0556,0.8095,447.8691983,-0.0124,-0.0101,1622,-0.0391,-0.0939,1920350,-0.0228,-0.1371,323,-0.0212,0.1333,0.0109,0.0609
201912,90069,"west hollywood, ca",*,3527050,0.0092,0.1776,285,-0.0924,0.425,102.5,0.3141,,24,-0.6667,-0.1429,0,,,4,-0.875,-0.75,63,-0.0308,0.4,1081.25,-0.0105,-0.0177,2547,-0.0238,0.0533,5762060,0.0075,0.0634,348,-0.0818,0.2211,0.014,-0.0039
201912,30549,"jefferson, ga",,325000,-0.0071,0.1209,285,-0.0206,-0.1926,59,-0.0328,-0.1806,80,0,0.6667,0,-1,-1,52,-0.1875,0.4444,118,-0.0484,-0.0781,115.30095,0.0304,0.1588,2400.5,-0.0371,0.0669,355815,-0.0015,0.0033,403,-0.0289,0.414,-0.0121,0.0514
201912,60045,"lake forest, il",,945050,-0.0052,-0.0146,285,-0.181,0.0035,139,0.112,-0.0142,12,-0.6667,-0.5,0,,,20,-0.5833,-0.4444,48,-0.0769,-0.1273,255.36373,-0.0014,-0.046,3769.5,-0.0282,0.0224,1447007,0.0334,0.0343,333,-0.1675,0.1684,0.019,-0.0252
201912,77650,"port bolivar, tx",,356500,-0.0057,0.0612,284,-0.0241,-0.0173,131,0.0077,0.048,28,-0.3636,-0.3,0,,,20,-0.1667,-0.2857,16,-0.2,0.1429,225.9253498,8.00E-04,0.0134,1538.5,-0.0023,-0.0029,393153,-0.0188,0.0162,300,-0.0354,0.0563,-0.0124,0.0079
201912,77573,"league city, tx",,328995,0.0029,0.0122,284,-0.1394,-0.1955,64.5,0.217,0.1121,84,-0.2759,-0.25,12,,-0.4,60,-0.5,-0.0625,130,-0.2262,-0.078,120.9327856,-0.003,0.0078,2782,0.0018,0.0036,395892,0.0089,0.0652,414,-0.1687,0.4577,-0.0513,0.0583
201912,33909,"cape coral, fl",*,215045,0.0023,,284,0.0035,,69.5,-0.2011,,72,-0.1,-0.1818,12,2,2,44,-0.4211,-0.5,126,-0.0735,0.1667,132.6450967,0,0.0345,1592.5,0.0022,-0.0121,227626,0.0042,0.0369,410,-0.0215,0.4437,-0.0369,0.1114
